,Song,Album Debut,Songwriter(s),Lead Vocal(s),Year,Lyrics
152,"""Penny Lane""",Magical Mystery Tour,McCartney,McCartney,1966,"Penny Lane there is a barber showing photographs Of every head he's had the pleasure to know And all the people that come and go Stop and say ""Hello"" On the corner is a banker with a motorcar, And little children laugh at him behind his back And the banker never wears a mac In the pouring rain, very strange Penny Lane is in my ears and in my eyes There beneath the blue suburban skies I sit, and meanwhile back In Penny Lane there is a fireman with an hourglass, And in his pocket is a portrait of the Queen He likes to keep his fire engine clean, It's a clean machine Penny Lane is in my ears and in my eyes A four of fish and finger pies In summer. Meanwhile back Behind the shelter in the middle of the roundabout The pretty nurse is selling poppies from a tray And though she feels as if she's in a play, She is anyway In Penny Lane the barber shaves another customer, We see the banker sitting waiting for a trim, And then the fireman rushes in From the pouring rain - very strange Penny Lane is in my ears and in my eyes There beneath the blue suburban skies I sit, and meanwhile back Penny Lane is in my ears and in my eyes There beneath the blue suburban skies Penny Lane!"
154,"""Please Please Me""","UK: Please Please Me
 US: The Early Beatles",Lennon,Lennon and McCartney,1962,"Last night I said these words to my girl I know you never even try, girl C'mon (C'mon), c'mon (C'mon), c'mon (C'mon), c'mon (C'mon) Please please me, whoa yeah, like I please you You don't need me to show the way, love Why do I always have to say ""love"" C'mon (C'mon), c'mon (C'mon), c'mon (C'mon), c'mon (C'mon) Please please me, whoa yeah, like I please you I don't wanna sound complaining But you know there's always rain in my heart (In my heart) I do all the pleasing with you, it's so hard to reason With you, whoah yeah, why do you make me blue Last night I said these words to my girl I know you never even try, girl C'mon (C'mon), c'mon (C'mon), c'mon (C'mon), c'mon (C'mon) Please please me, whoa yeah, like I please you (Me) Whoa yeah, like I please you (Me) Whoa yeah, like I please you"
155,"""Polythene Pam""",Abbey Road,Lennon,Lennon,1969,"Well, you should see Polythene Pam She's so good-looking but she looks like a man Well, you should see her in drag dressed in her polythene bag Yes, you should see Polythene Pam Yeah, yeah, yeah Get a dose of her in jackboots and kilt She's killer-diller when she's dressed to the hilt She's the kind of a girl that makes the ""News of the World"" Yes, you could say she was attractively built Yeah, yeah, yeah"
156,"""P.S. I Love You""","UK: Please Please Me
 US: The Early Beatles",Lennon-McCartney,McCartney,1962,"As I write this letter Send my love to you Remember that I'll always Be in love with you Treasure these few words till we're together Keep all my love forever P.S. I love you You, you, you I'll be coming home again to you, love And till the day I do, love P.S. I love you You, you, you As I write this letter Send my love to you Remember that I'll always Be in love with you Treasure these few words till we're together Keep all my love forever P.S. I love you You, you, you As I write this letter (Oh) Send my love to you (You know I want you to) Remember that I'll always (Yeah) Be in love with you I'll be coming home again to you, love And till the day I do, love P.S. I love you You, you, you You, you, you I love you"
157,"""Rain""","UK: Rarities
 US: Hey Jude",Lennon,Lennon,1966,"If the rain comes  They run and hide their heads They might as well be dead If the rain comes If the rain comes When the sun shines  They slip into the shade And sip their lemonade When the sun shines When the sun shines Rain, I don't mind Shine, the weather's fine I can show you  That when it starts to rain Everything's the same I can show you I can show you Rain, I don't mind Shine, the weather's fine Can you hear me That when it rains and shines It's just a state of mind Can you hear me Can you hear me"
158,"""Real Love""",Anthology 2,Lennon,Lennon,1980,"All my little plans and schemes Lost like some forgotten dreams Seems that all I really was doing Was waiting for you Just like little girls and boys Playing with their little toys Seems like all they really were doing Was waiting for love Don't need to be alone No need to be alone It's real love, it's real Yes, it's real love, it's real From this moment on I know Exactly where my life will go Seems that all I really was doing Was waiting for love Don't need to be afraid No need to be afraid It's real love, it's real Yes, it's real love, it's real Thought I'd been in love before But in my heart, I wanted more Seems like all I really was doing Was waiting for you Don't need to be alone Don't need to be alone It's real love, it's real It's real love, it's real Yes, it's real love, it's real It's real love, it's real Yes, it's real love, it's real It's real love, it's real Yes, it's real love, it's real It's real love, it's real"
159,"""Revolution""","UK: 1967-1970
 US: Hey Jude",Lennon,Lennon,1968,"You say you want a revolution Well, you know We all want to change the world You tell me that it's evolution Well, you know We all want to change the world But when you talk about destruction Don't you know that you can count me out Don't you know it's gonna be  All right, all right, all right You say you got a real solution Well, you know We'd all love to see the plan You ask me for a contribution Well, you know We're doing what we can But if you want money for people with minds that hate All I can tell is brother you have to wait Don't you know it's gonna be  All right, all right, all right You say you'll change the constitution Well, you know We all want to change your head You tell me it's the institution Well, you know You better free you mind instead But if you go carrying pictures of chairman Mao You ain't going to make it with anyone anyhow Don't you know it's gonna be  All right, all right, all right All right, all right, all right All right, all right, all right All right, all right"
160,"""Rocky Raccoon""",The Beatles,Lennon-McCartney,McCartney,1968,"Now somewhere in the Black Mountain Hills of Dakota There lived a young boy named Rocky Raccoon And one day his woman ran off with another guy Hit young Rocky in the eye Rocky didn't like that He said, ""I'm gonna get that boy"" So one day he walked into town Booked himself a room in the local saloon Rocky Raccoon checked into his room Only to find Gideon's Bible Rocky had come, equipped with a gun To shoot off the legs of his rival His rival it seems, had broken his dreams By stealing the girl of his fancy Her name was Magill, and she called herself Lil But everyone knew her as Nancy Now she and her man, who called himself Dan Were in the next room at the hoe down Rocky burst in, and grinning a grin He said, ""Danny boy, this is a showdown"" But Daniel was hot, he drew first and shot And Rocky collapsed in the corner Now the doctor came in, stinking of gin And proceeded to lie on the table He said, ""Rocky, you met your match"" And Rocky said, ""Doc, it's only a scratch And I'll be better, I'll be better, Doc, as soon as I am able"" Now Rocky Raccoon, he fell back in his room Only to find Gideon's Bible Gideon checked out, and he left it, no doubt To help with good Rocky's revival"
161,"""Run for Your Life""",Rubber Soul,Lennon-McCartney,Lennon,1965,"Well, I'd rather see you dead, little girl Than to be with another man You better keep your head, little girl Or you won't know where I am You better run for your life if you can, little girl Hide your head in the sand, little girl Catch you with another man That's the end'a little girl Well, you know that I'm a wicked guy And I was born with a jealous mind And I can't spend my whole life Trying just to make you toe the line You better run for your life if you can, little girl Hide your head in the sand, little girl Catch you with another man That's the end'a little girl Let this be a sermon I mean everything I've said Baby, I'm determined And I'd rather see you dead You better run for your life if you can, little girl Hide your head in the sand, little girl Catch you with another man That's the end'a little girl I'd rather see you dead, little girl Than to be with another man You better keep your head, little girl Or you won't know where I am You better run for your life if you can, little girl Hide your head in the sand, little girl Catch you with another man That's the end'a little girl Na, na, na Na, na, na Na, na, na Na, na, na"
163,"""Sexy Sadie""",The Beatles,Lennon,Lennon,1968,"Sexy Sadie, what have you done You made a fool of everyone You made a fool of everyone Sexy Sadie, ooh, what have you done Sexy Sadie, you broke the rules You laid it down for all to see You laid it down for all to see Sexy Sadie, ooh, you broke the rules One sunny day the world was waiting for a lover She came along and turned on everyone Sexy Sadie, the greatest of them all Sexy Sadie, how did you know The world was waiting just for you The world was waiting just for you Sexy Sadie, ooh, how did you know Sexy Sadie, you'll get yours yet However big you think you are However big you think you are Sexy Sadie, ooh, you'll get yours yet We gave her everything we owned just to sit at her table Just a smile would lighten everything Sexy Sadie, she's the latest and the greatest of them all She made a fool of everyone Sexy Sadie However big you think you are Sexy Sadie"
164,"""Sgt. Pepper's Lonely Hearts Club Band""",Sgt. Pepper's Lonely Hearts Club Band,McCartney,"McCartney
 (with Lennon, Harrison and Starr)",1967,We're Sergeant Pepper's Lonely Hearts Club Band We hope you have enjoyed the show Sergeant Pepper's Lonely Hearts Club Band We're sorry but it's time to go Sergeant Pepper's Lonely Sergeant Pepper's Lonely Sergeant Pepper's Lonely Sergeant Pepper's Lonely Sergeant Pepper's Lonely Hearts Club Band We'd like to thank you once again Sergeant Pepper's one and only Lonely Hearts Club Band It's getting very near the end Sergeant Pepper's Lonely Sergeant Pepper's Lonely Sergeant Pepper's Lonely Hearts Club Band
165,"""Sgt. Pepper's Lonely Hearts Club Band (Reprise)""",Sgt. Pepper's Lonely Hearts Club Band,McCartney,"McCartney
 Lennon
 Harrison
 Starr",1967,"1,2,3,4 Bye! We're Sgt. Pepper's Lonely Hearts Club Band We hope you have enjoyed the show Sgt. Pepper's Lonely Hearts Club Band We're sorry but it's time to go Sgt. Pepper's lonely, Sgt. Pepper's lonely Sgt. Pepper's lonely, Sgt. Pepper's lonely Sgt. Pepper's Lonely Hearts Club Band We'd like to thank you once again Sgt. Pepper's one and only Lonely Hearts Club Band It's getting very near the end Sgt. Pepper's lonely, Sgt. Pepper's lonely Sgt. Pepper's Lonely Hearts Club Band"
166,"""She Came in Through the Bathroom Window""",Abbey Road,McCartney,McCartney,1969,"She came in through the bathroom window Protected by a silver spoon But now she sucks her thumb and wanders By the banks of her own lagoon Didn't anybody tell her? Didn't anybody see? Sunday's on the phone to Monday Tuesday's on the phone to me She said she'd always been a dancer She worked at fifteen clubs a day And though she thought I knew the answer Well, I knew what I could not say And so I quit the police department And got myself a steady job And though she tried her best to help me She could steal but she could not rob Didn't anybody tell her? Didn't anybody see? Sunday's on the phone to Monday, Tuesday's on the phone to me Oh yeah"
167,"""She Loves You""","UK: A Collection of Beatles Oldies
 US: The Beatles Second Album",Lennon-McCartney,"Lennon
 McCartney",1963,"She loves you, yeah, yeah, yeah She loves you, yeah, yeah, yeah She loves you, yeah, yeah, yeah You think you've lost your love Well, I saw her yesterday-yi-yay It's you she's thinking of And she told me what to say-yi-yay She says she loves you And you know that can't be bad Yes, she loves you And you know you should be glad She said you hurt her so She almost lost her mind And now she says she knows You're not the hurting kind She says she loves you And you know that can't be bad Yes, she loves you And you know you should be glad Oo, she loves you, yeah, yeah, yeah She loves you, yeah, yeah, yeah With a love like that You know you should be glad You know it's up to you I think it's only fair Pride can hurt you too Apologize to her Because she loves you And you know that can't be bad Yes, she loves you And you know you should be glad Oo, she loves you, yeah, yeah, yeah She loves you, yeah, yeah, yeah With a love like that You know you should be glad With a love like that You know you should be glad With a love like that You know you should be glad Yeah, yeah, yeah, Yeah, yeah, yeah, yeah"
168,"""She Said She Said""",Revolver,Lennon,Lennon,1966,"She said I know what it's like to be dead I know what it is to be sad And she's making me feel like I've never been born I said Who put all those things in your hair Things that make me feel like I'm sad And you're making me feel like I've never been born She said you don't understand what I said I said no no no you're wrong When I was a boy, everything was right Everything was right I said Even though you know what you know I know that I'm ready to leave 'Cause you're making me feel like I've never been born She said you don't understand what I said I said no no no you're wrong When I was a boy, everything was right Everything was right I said Even though you know what you know I know that I'm ready to leave 'Cause you're making me feel like I've never been born She said I know what it's like to be dead I know what it's like to be dead I know what it is to be sad I know what it is to be sad"
169,"""She's a Woman""","UK: Rarities
 US: Beatles '65",Lennon-McCartney,McCartney,1964,"My love don't give me presents I know that she's no peasant Only ever has to give me Love forever and forever My love don't give me presents Turn me on when I get lonely People tell me that she's only fooling I know she isn't She don't give boys the eye She hates to see me cry She is happy just to hear me Say that I will never leave her She don't give boys the eye She will never make me jealous Gives me all her time as well as loving Don't ask me why She's a woman who understands She's a woman who loves her man My love don't give me presents I know that she's no peasant Only ever has to give me Love forever and forever My love don't give me presents Turn me on when I get lonely People tell me that she's only fooling I know she isn't, woo ooh She's a woman who understands She's a woman who loves her man Her love don't give me presents I know that she's no peasant Only ever has to give me Love forever and forever My love don't give me presents Turn me on when I get lonely People tell me that she's only fooling I know she isn't She's a woman, she's a woman She's a woman, she's a woman, she's a woman"
170,"""She's Leaving Home""",Sgt. Pepper's Lonely Hearts Club Band,Lennon-McCartney,"McCartney
 (with Lennon)",1967,"Wednesday morning at five o'clock As the day begins Silently closing her bedroom door Leaving the note that she hoped would say more She goes downstairs to the kitchen Clutching her handkerchief Quietly turning the backdoor key Stepping outside, she is free She(we gave her most of our lives) Is leaving (sacrificed most of our lives) Home (we gave her everything money could buy) She's leaving home, after living alone, for so many years (bye bye) Father snores as his wife gets into her dressing gown Picks up the letter that's lying there Standing alone at the top of the stairs She breaks down and cries to her husband ""Daddy, our baby's gone. ""Why would she treat us so thoughtlessly? How could she do this to me?"" She (we never thought of ourselves) Is leaving (never a thought for ourselves) Home (we struggled hard all our lives to get by) She's leaving home, after living alone, for so many years Friday morning, at nine o'clock She is far away Waiting to keep the appointment she made Meeting a man from the Motortrade She (what did we do that was wrong) Is Having (we didn't know it was wrong) Fun (fun is the one thing that money can't buy) Something inside, that was always denied, for so many years She's leaving home, bye, bye"
173,"""Strawberry Fields Forever""",Magical Mystery Tour,Lennon,Lennon,1966,"Let me take you down Cause I'm going to Strawberry Fields Nothing is real And nothing to get hung about Strawberry Fields forever Living is easy with eyes closed Misunderstanding all you see It's getting hard to be someone But it all works out It doesn't matter much to me Let me take you down Cause I'm going to Strawberry Fields Nothing is real And nothing to get hung about Strawberry Fields forever No one I think is in my tree I mean it must be high or low That is you can't, you know, tune in But it's all right That is, I think, it's not too bad Let me take you down Cause I'm going to Strawberry Fields Nothing is real And nothing to get hung about Strawberry Fields forever Always, no, sometimes think it's me But you know I know when it's a dream I think, er, no, I mean, er, yes But it's all wrong That is I think I disagree Let me take you down Cause I'm going to Strawberry Fields Nothing is real And nothing to get hung about Strawberry Fields forever Strawberry Fields forever Strawberry Fields forever"
174,"""Sun King""",Abbey Road,Lennon,"Lennon
 (with McCartney and Harrison)",1969,Aaaaahhhhhhhhhh... Here comes the sun king Here comes the sun king Everybody's laughing Everybody's happy Here comes the sun king Quando paramucho mi amore de felice carathon Mundo paparazzi mi amore cicce verdi parasol Questo abrigado tantamucho que canite carousel
177,"""Teddy Boy""",Anthology 3,McCartney,McCartney,1969,"This is the story About a boy named Ted If his mother said (Said) ""Ted, be good (Be good, Ted),"" he would (Alright) She told him tales About a soldier dad But it made her sad Then she cried, oh my Ted used to tell her He'd be twice as good And he knew he could Cos in his head he said ""Mummy don't worry Your mblmblmbl's here Taking good care of you Mama don't worry Your Teddy boy's here Teddy's gonna see you through"" And she said ""Teddy don't worry Your mummy's here Taking good care of you"" She said, ""Teddy don't worry Your mummy's here Teddy's gonna see you through"" He said, ""Ta da da..."" Then came the day She found herself a man Teddy turned and ran Oh far away, oh yeah He couldn't stand Just to be around So he left the town far away, yeah yeah Ted used to tell her He'd be twice as good And he know he could Cos in his head he said ""Mummy don't worry Now Teddy boy's here Taking good care of you Mummy don't worry Your Teddy boy's here Teddy's gonna see you through"" And she said ""Teddy don't worry Now mummy's here Taking good care of you Teddy don't worry Your mummy's here Mummy's gonna see you through"" And he said ""Mummy mummy don't worry Your Teddy boy's here Taking good care of you Mummy don't worry Now Teddy boy's here Teddy's gonna see you through"" Take your partners And dosi-do Hold them tight And don't let go When got it. Jump up Take your partners And dosi-do When you got it Then let it go Hold them tight then Now Ted used to tell her He'd be twice as good And he knew he could Cos in his head, he said"
178,"""Tell Me What You See""","UK: Help!
 US: Beatles VI",Lennon-McCartney,"McCartney
 (with Lennon)",1965,"If you let me take your heart, I will prove to you We will never be apart, if I'm part of you Open up your eyes now, tell me what you see It is no surprise now, what you see is me Big and black the clouds may be, time will pass away If you put your trust in me, I'll make bright your day Look into these eyes now, tell me what you see Don't you realize now, what you see is me Tell me what you see Listen to me one more time, how can I get through? Can't you try to see that I'm, trying to get to you? Open up your eyes now, tell me what you see It is no surprise now, what you see is me Tell me what you see Listen to me one more time, how can I get through? Can't you try to see that I'm, trying to get to you? Open up your eyes now, tell me what you see It is no surprise now, what you see is me Mmm mmm mmm mmm mmm"
179,"""Tell Me Why""","UK: A Hard Day's Night
 US: Something New",Lennon,Lennon,1964,"Tell me why you cried, and why you lied to me Tell me why you cried, and why you lied to me Well, I gave you everything I had But you left me sitting on my own Did you have to treat me oh, so bad All I do is hang my head and moan Tell me why you cried, and why you lied to me Tell me why you cried, and why you lied to me If there's something I have said or done Tell me what and I'll apologize If you don't really can't go on Holding back these tears in my eyes Tell me why you cried, and why you lied to me Tell me why you cried, and why you lied to me Well, I beg you on my bended knees If you'll only listen to my pleas Is there anything I can do 'Cause I really can't stand it, I'm so in love with you Tell me why you cried, and why you lied to me Tell me why you cried, and why you lied to me"
180,"""Thank You Girl""","UK: Rarities
 US: The Beatles Second Album",Lennon-McCartney,"Lennon
 McCartney",1963,"Ah, ah, you've been good to me You made me glad when I was blue And eternally I'll always be in love with you And all I gotta do is thank you girl Thank you girl I could tell the world A thing or two about our love I know little girl only a fool would doubt our love And all I gotta do is thank you girl Thank you girl Thank you girl for loving me  The way that you do (way that you do) That's the kind of love that is too good to be true And all I gotta do is thank you girl Thank you girl Ah, ah, you've been good to me You made me glad when I was blue And eternally I'll always be in love with you And all I gotta do is thank you girl Thank you girl Ah, ah, ah, ah, ah, ah, ah, ah"
181,"""That Means a Lot""",Anthology 2,McCartney,McCartney,1965,"A friend says that your love won't mean a lot And you know that your love is all you've got At times things are so fine and at times they're not But when she says she loves you, that means a lot A friend says that a love is never true But you know that this don't apply to you A touch can mean so much when it's all you've got And when she says she loves you that means a lot Love can be deep inside, love can be suicide Can't you see, you can't hide what you feel, when it's real A friend says that your love won't mean a lot But you know that your love is all you've got A touch can mean so much when it's all you've got But when she says she loves you that means a lot Can't you see, yeah, can't you see, yeah Can't you see, yeah, can't you see, yeah Can't you see, yeah, can't you see, yeah Can't you see, yeah, can't you see, yeah"
182,"""There's a Place""","UK: Please Please Me
 US: Rarities",Lennon-McCartney,"Lennon
 McCartney",1963,"There is a place Where I can go When I feel low When I feel blue And it's my mind And there's no time when I'm alone I think of you And things you do Go 'round my head The things you said Like ""I love only you"" In my mind there's no sorrow Don't you know that it's so There'll be no sad tomorrow Don't you know that it's so There is a place Where I can go When I feel low When I feel blue And it's my mind And there's no time when I'm alone There's a place"
183,"""Things We Said Today""","UK: A Hard Day's Night
 US: Something New",McCartney,McCartney,1964,"You say you will love me  If I have to go  You'll be thinking of me Somehow I will know  Wishing you weren't so far away Then I will remember  The things we said today You say you'll be mine, girl Until the end of time  These days such a kind girl  Seems so hard to find  Someday when we're dreaming Deep in love, not a lot to say  Then we will try to remember  The things we said today Me, I'm just the lucky kind  Love to hear you say that love is luck  And, though we may be blind Love is here to stay And that's enough  To make you mine, girl Be the only one  Love me all the time, girl  We'll go on and on  Someday when we're dreaming Deep in love, not a lot to say  Then we will try to remember  The things we said today Love me all the time, girl  We'll go on and on  Someday when we're dreaming Deep in love, not a lot to say  Then we will try to remember  The things we said today"
185,"""This Boy""","UK: Rarities
 US: Meet the Beatles!",Lennon,"Lennon
 (with McCartney and Harrison)",1963,"That boy Took my love away He'll regret it someday But this boy wants you back again That boy Isn't good for you Though he may want you too This boy wants you back again Oh, and this boy would be happy  Just to love you, but oh my  That boy won't be happy Till he's seen you cry This boy Wouldn't mind the pain Would always feel the same If this boy gets you back again This boy, this boy, this boy"
186,"""Ticket to Ride""",Help!,Lennon,"Lennon
 (with McCartney)",1965,"I think I'm gonna be sad, I think it's today, yeah. The girl that's driving me mad Is going away. She's got a ticket to ride, She's got a ticket to ride, She's got a ticket to ride, But she don't care. She said that living with me Is bringing her down yeah. For she would never be free When I was around. She's got a ticket to ride, She's got a ticket to ride, She's got a ticket to ride, But she don't care. I don't know why she's ridin' so high, She ought to think twice, She ought to do right by me. Before she gets to saying goodbye, She ought to think twice, She ought to do right by me. I think I'm gonna' be sad, I think it's today yeah. The girl that's driving me mad Is going away, yeah. She's got a ticket to ride, She's got a ticket to ride, She's got a ticket to ride, But she don't care. I don't know why she's ridin' so high, She ought to think twice, She ought to do right by me. Before she gets to saying goodbye, She ought to think twice, She ought to do right by me . She said that living with me, Is bringing her down, yeah. For she would never be free When I was around. Ah, she's got a ticket to ride, She's got a ticket to ride, She's got a ticket to ride, But she don't care. My baby don't care, my baby don't care. My baby don't care, my baby don't care. My baby don't care, my baby don't care."
187,"""Tomorrow Never Knows""",Revolver,Lennon,Lennon,1966,"Turn off your mind, relax and float down stream It is not dying, it is not dying Lay down all thoughts, surrender to the void It is shining, it is shining Yet you may see the meaning of within It is being, it is being Love is all and love is everyone It is knowing, it is knowing... ... that ignorance and hates may mourn the dead It is believing, it is believing But listen to the colour of your dreams It is not living, it is not living So play the game ""Existence"" to the end... ... Of the beginning, of the beginning Of the beginning, of the beginning Of the beginning, of the beginning Of the beginning, of the beginning"
188,"""Two of Us""",Let It Be,McCartney,"McCartney
 (with Lennon)",1969,Two of us riding nowhere Spending someone's Hard earned pay Two of us Sunday driving Not arriving On our way back home We're on our way home We're on our way home We're going home Two of us sending postcards Writing letters On my wall You and me burning matches Lifting latches On our way back home We're on our way home We're on our way home We're going home You and I have memories Longer than the road that stretches out ahead Two of us wearing raincoats Standing so low In the sun You and me chasing paper Getting nowhere On our way back home We're on our way home We're on our way home We're going home
189,"""Wait""",Rubber Soul,Lennon-McCartney,McCartney and Lennon,1965,"It's been a long time Now I'm coming back home I've been away now Oh how I've been alone Wait till I come back to your side We'll forget the tears we've cried But if your heart breaks Don't wait, turn me away And if your heart's strong Hold on, I won't delay Wait till I come back to your side We'll forget the tears we've cried I feel as though You ought to know That I've been good As good as I can be And if you do I'll trust in you And know that you Will wait for me It's been a long time Now I'm coming back home I've been away now Oh how I've been alone Wait till I come back to your side We'll forget the tears we've cried I feel as though You ought to know That I've been good As good as I can be And if you do I'll trust in you And know that you Will wait for me But if your heart breaks Don't wait, turn me away And if your heart's strong Hold on, I won't delay Wait till I come back to your side We'll forget the tears we've cried It's been a long time Now I'm coming back home I've been away now Oh, how I've been alone"
190,"""Watching Rainbows""",,Lennon-McCartney,Lennon,1969,Standing in the garden waiting for the sun to shine Hand me my umbrella when she says she wish she was mine Everybody does think a thing it didn't come Instead of watching rainbows I'm gonna make me some Instead of watching rainbows I'm gonna make me some Standing in the garden waiting for the English sun to come and make me brown so I can be someone Looking at the bench of next door neighbors Crying to my mom of diamond tooth sabers Everybody's got to have something hard to hold Well instead of watching rainbows under the sun You gotta get out son and make you one You gotta get out son and make you one Because you're not gonna make it if you cry cry cry I know Shoot big Shoot big Whatever you do you gotta kill somebody to get what you wanna get You gotta shoot big You gotta shoot big Until you shoot big I can't stand it
191,"""We Can Work It Out""","UK: A Collection of Beatles Oldies
 US: Yesterday and Today",Lennon-McCartney,"McCartney
 (with Lennon)",1965,"Try to see it my way, Do I have to keep on talking till I can't go on? While you see it your way, Run the risk of knowing that our love may soon be gone. We can work it out, We can work it out. Think of what you're saying. You can get it wrong and still you think that it's alright. Think of what I'm saying, We can work it out and get it straight, or say good night. We can work it out, We can work it out. Life is very short, and there's no time For fussing and fighting, my friend. I have always thought that it's a crime, So I will ask you once again. Try to see it my way, Only time will tell if I am right or I am wrong. While you see it your way There's a chance that we may fall apart before too long. We can work it out, We can work it out. Life is very short, and there's no time For fussing and fighting, my friend. I have always thought that it's a crime, So I will ask you once again. Try to see it my way, Only time will tell if I am right or I am wrong. While you see it your way There's a chance that we may fall apart before too long. We can work it out, We can work it out."
193,"""What You're Doing""","UK: Beatles for Sale
 US: Beatles VI",McCartney,McCartney,1964,"Look what you're doing, I'm feeling blue and lonely, Would it be too much to ask you, What you're doing to me? You got me running and there's no fun in it, Why should it be so much to ask of you, What you're doing to me? I've been waiting here for you, Wond'ring what you're gonna do, Should you need a love that's true, It's me. Please stop your lying, you've got me crying, girl, Why should it be so much to ask of you, What you're doing to me? What you're doing to me."
194,"""What's The New Mary Jane""",Anthology 3,Lennon,Lennon,1968,She looks as an African Queen She eating twelve chapattis and cream She tastes as Mongolian lamb She coming from out of Bahran What a shame Mary Jane had a pain at the party What a shame Mary Jane what a shame Mary Jane had a pain at the party She like to be married with Yetti He groving such cooky spaghoetti She jumping as Mexican bean To make that her body morphine What a shame Mary Jane had a pain at the party What a shame Mary Jane what a shame Mary Jane had a pain at the party She catch Patagonian pancake With that one and gin party makes She having always good contact She making with apple and contract What a shame Mary Jane had a pain at the party What a shame Mary Jane what a shame Mary Jane had a pain at the party All together now What a shame Mary Jane had a pain at the party What a shame what what a shame Mary Jane had a pain at the party What a shame what a shame what a shame what a shame Mary Jane had a pain at the party What a shame what a shame what a shame what a shame Mary Jane had a pain at the party What a shame what a shame Mary Jane had a pain at the party What a shame what a shame what a shame Mary Jane had a pain at the party What a shame Mary Jane Mary Jane had a pain at the party What a shame Mary Jane what a shame Mary Jane had a pain at the party What a shame Mary Jane what a shame She looks as an African Queen She tastes as Mongolian lamb What a shame Mary Jane what a shame Mary Jane had a pain at the party All together now What a shame Mary Jane had a pain at the party What a shame what what a shame Mary Jane had a pain at the party What a shame what a shame what a shame what a shame That's it. Before we got taking no what
195,"""When I Get Home""","UK: A Hard Day's Night
 US: Something New",Lennon,Lennon,1964,"Whoa, ah, woah, ah I got a whole lot of things to tell her When I get home Come on, I'm on my way 'Cause I'm a gonna see my baby today I've got a whole lot of things I've gotta say To her Whoa, ah, woah, ah I got a whole lot of things to tell her When I get home Come on, if you please I've got no time for trivialities I've got a girl who's waiting home for me Tonight Whoa, ah, woah, ah I got a whole lot of things to tell her When I get home When I'm getting home tonight I'm gonna hold her tight I'm gonna love her till the cows come home I bet I'll love her more Till I walk out that door again Come on, let me through I got so many things I gotta do I got no business being here with you This way Whoa, ah, woah, ah I got a whole lot of things to tell her When I get home Yeah, I've got a whole lot of things to tell her When I get home"
196,"""When I'm Sixty-Four""",Sgt. Pepper's Lonely Hearts Club Band,McCartney,McCartney,1966,"When I get older losing my hair Many years from now Will you still be sending me a Valentine Birthday greetings bottle of wine If I'd been out till quarter to three Would you lock the door Will you still need me, will you still feed me When I'm sixty-four You'll be older too And if you say the word I could stay with you I could be handy, mending a fuse When your lights have gone You can knit a sweater by the fireside Sunday mornings go for a ride Doing the garden, digging the weeds Who could ask for more Will you still need me, will you still feed me When I'm sixty-four Every summer we can rent a cottage In the Isle of Wight, if it's not too dear We shall scrimp and save Grandchildren on your knee Vera, Chuck and Dave Send me a postcard, drop me a line Stating point of view Indicate precisely what you mean to say Yours sincerely, wasting away Give me your answer, fill in a form Mine for evermore Will you still need me, will you still feed me When I'm sixty-four"
198,"""Why Don't We Do It in the Road?""",The Beatles,McCartney,McCartney,1968,"Why don't we do it in the road? Why don't we do it in the road? Why don't we do it in the road? Why don't we do it in the road? No one will be watching us Why don't we do it in the road? Why don't we do it in the road? Why don't we do it in the road? Why don't we do it in the road? Why don't we do it in the road? No one will be watching us Why don't we do it in the road? Why don't we do it in the road? Why don't we do it in the road? Why don't we do it, do it in the road? Why don't we do it in the road? No one will be watching us Why don't we do it in the road?"
199,"""Wild Honey Pie""",The Beatles,McCartney,McCartney,1968,"Honey Pie Honey Pie Honey Pie Honey Pie Honey Pie Honey Pie Honey Pie Honey Pie I love you, Honey Pie"
200,"""With a Little Help from My Friends""",Sgt. Pepper's Lonely Hearts Club Band,Lennon-McCartney,"Starr
 (with Lennon and McCartney)",1967,"Billy Shears What would you think if I sang out of tune Would you stand up and walk out on me? Lend me your ears and I'll sing you a song And I'll try not to sing out of key Oh I get by with a little help from my friends Mm I get high with a little help from my friends Mm gonna try with a little help from my friends What do I do when my love is away? (Does it worry you to be alone?) How do I feel by the end of the day? (Are you sad because you're on your own?) No I get by with a little help from my friends Mm I get high with a little help from my friends Mm gonna try with a little help from my friends (Do you need anybody?) I need somebody to love (Could it be anybody?) I want somebody to love (Would you believe in a love at first sight?) Yes I'm certain that it happens all the time (What do you see when you turn out the light?) I can't tell you, but I know it's mine Oh I get by with a little help from my friends Mm I get high with a little help from my friends Oh I'm gonna try with a little help from my friends (Do you need anybody?) I just need someone to love (Could it be anybody?) I want somebody to love Oh I get by with a little help from my friends Mm gonna try with a little help from my friends Oh I get high with a little help from my friends Yes I get by with a little help from my friends With a little help from my friends"
